town,flat,flat_model,lease_commence_date,resale_price
ANG MO KIO,172 ANG MO KIO AVE 4,Improved,1986,300000
ANG MO KIO,510 ANG MO KIO AVE 8,Improved,1980,305000
ANG MO KIO,610 ANG MO KIO AVE 4,New Generation,1980,400000
ANG MO KIO,474 ANG MO KIO AVE 10,New Generation,1984,410000
ANG MO KIO,604 ANG MO KIO AVE 5,New Generation,1980,360000
ANG MO KIO,154 ANG MO KIO AVE 5,New Generation,1981,466888
ANG MO KIO,110 ANG MO KIO AVE 4,New Generation,1978,340000
ANG MO KIO,445 ANG MO KIO AVE 10,New Generation,1979,375000
ANG MO KIO,476 ANG MO KIO AVE 10,New Generation,1979,365000
ANG MO KIO,631 ANG MO KIO AVE 4,New Generation,1985,380000
ANG MO KIO,155 ANG MO KIO AVE 4,New Generation,1981,322888
ANG MO KIO,560 ANG MO KIO AVE 10,New Generation,1980,420000
ANG MO KIO,561 ANG MO KIO AVE 10,New Generation,1980,428000
ANG MO KIO,405 ANG MO KIO AVE 10,New Generation,1979,350000
ANG MO KIO,548 ANG MO KIO AVE 10,New Generation,1981,308888
ANG MO KIO,126 ANG MO KIO AVE 3,New Generation,1978,400000
ANG MO KIO,558 ANG MO KIO AVE 10,New Generation,1980,415000
ANG MO KIO,212 ANG MO KIO AVE 3,New Generation,1977,340000
ANG MO KIO,333 ANG MO KIO AVE 1,New Generation,1981,395000
ANG MO KIO,114 ANG MO KIO AVE 4,New Generation,1978,388000
ANG MO KIO,151 ANG MO KIO AVE 5,New Generation,1981,355000
ANG MO KIO,503 ANG MO KIO AVE 5,New Generation,1981,360000
ANG MO KIO,230 ANG MO KIO AVE 3,New Generation,1978,370888
ANG MO KIO,157 ANG MO KIO AVE 4,New Generation,1980,320000
ANG MO KIO,213 ANG MO KIO AVE 3,New Generation,1976,345000
ANG MO KIO,419 ANG MO KIO AVE 10,New Generation,1979,488000
ANG MO KIO,549 ANG MO KIO AVE 10,New Generation,1981,480000
ANG MO KIO,201 ANG MO KIO AVE 3,New Generation,1977,395000
ANG MO KIO,533 ANG MO KIO AVE 5,New Generation,1980,473000
ANG MO KIO,571 ANG MO KIO AVE 3,New Generation,1979,347500
ANG MO KIO,623 ANG MO KIO AVE 9,New Generation,1980,390000
ANG MO KIO,465 ANG MO KIO AVE 10,New Generation,1980,420000
ANG MO KIO,119 ANG MO KIO AVE 3,New Generation,1978,410000
ANG MO KIO,121 ANG MO KIO AVE 3,New Generation,1978,388000
ANG MO KIO,418 ANG MO KIO AVE 10,Adjoined flat,1979,1200000
ANG MO KIO,607 ANG MO KIO AVE 4,New Generation,1980,375000
ANG MO KIO,216 ANG MO KIO AVE 1,New Generation,1976,370888
ANG MO KIO,103 ANG MO KIO AVE 3,New Generation,1978,448888
ANG MO KIO,570 ANG MO KIO AVE 3,New Generation,1979,380000
ANG MO KIO,127 ANG MO KIO AVE 3,New Generation,1978,505000
ANG MO KIO,159 ANG MO KIO AVE 4,New Generation,1980,270000
ANG MO KIO,173 ANG MO KIO AVE 4,New Generation,1982,478000
ANG MO KIO,585 ANG MO KIO AVE 3,New Generation,1979,380000
ANG MO KIO,120 ANG MO KIO AVE 3,New Generation,1978,460000
ANG MO KIO,421 ANG MO KIO AVE 10,New Generation,1979,420000
ANG MO KIO,178 ANG MO KIO AVE 4,New Generation,1981,380000
ANG MO KIO,417 ANG MO KIO AVE 10,New Generation,1979,415000
ANG MO KIO,509 ANG MO KIO AVE 8,New Generation,1980,391500
ANG MO KIO,128 ANG MO KIO AVE 3,New Generation,1978,393888
ANG MO KIO,328 ANG MO KIO AVE 3,New Generation,1978,375000
ANG MO KIO,463 ANG MO KIO AVE 10,New Generation,1980,365000
ANG MO KIO,575 ANG MO KIO AVE 10,New Generation,1980,385000
ANG MO KIO,587 ANG MO KIO AVE 3,New Generation,1979,383000
ANG MO KIO,218 ANG MO KIO AVE 1,New Generation,1976,360000
ANG MO KIO,320 ANG MO KIO AVE 1,New Generation,1977,400000
ANG MO KIO,348 ANG MO KIO AVE 3,New Generation,1978,500000
ANG MO KIO,601 ANG MO KIO AVE 5,New Generation,1980,355000
ANG MO KIO,313 ANG MO KIO AVE 3,New Generation,1978,395000
ANG MO KIO,523 ANG MO KIO AVE 5,New Generation,1980,480000
ANG MO KIO,108 ANG MO KIO AVE 4,New Generation,1978,350000
ANG MO KIO,466 ANG MO KIO AVE 10,New Generation,1984,385000
ANG MO KIO,105 ANG MO KIO AVE 4,New Generation,1978,425000
ANG MO KIO,438 ANG MO KIO AVE 10,New Generation,1979,500000
ANG MO KIO,543 ANG MO KIO AVE 10,New Generation,1981,465000
ANG MO KIO,416 ANG MO KIO AVE 10,New Generation,1979,367000
ANG MO KIO,442 ANG MO KIO AVE 10,New Generation,1979,380000
ANG MO KIO,573 ANG MO KIO AVE 3,New Generation,1979,555000
ANG MO KIO,542 ANG MO KIO AVE 10,New Generation,1981,388000
ANG MO KIO,544 ANG MO KIO AVE 10,New Generation,1981,460000
ANG MO KIO,335 ANG MO KIO AVE 1,New Generation,1982,435000
ANG MO KIO,475 ANG MO KIO AVE 10,New Generation,1979,360000
ANG MO KIO,572 ANG MO KIO AVE 3,New Generation,1979,440000
ANG MO KIO,208 ANG MO KIO AVE 1,New Generation,1976,358000
ANG MO KIO,231 ANG MO KIO AVE 3,New Generation,1977,450000
ANG MO KIO,435 ANG MO KIO AVE 10,New Generation,1979,400000
ANG MO KIO,467 ANG MO KIO AVE 10,New Generation,1979,520000
ANG MO KIO,634 ANG MO KIO AVE 6,New Generation,1980,500000
ANG MO KIO,504 ANG MO KIO AVE 8,Adjoined flat,1980,840000
ANG MO KIO,414 ANG MO KIO AVE 10,New Generation,1979,490000
ANG MO KIO,434 ANG MO KIO AVE 10,New Generation,1979,380000
ANG MO KIO,346 ANG MO KIO AVE 3,New Generation,1978,468000
ANG MO KIO,638 ANG MO KIO AVE 6,New Generation,1980,513000
ANG MO KIO,101 ANG MO KIO AVE 3,Standard,1978,773000
