,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,flat
0,KEBUN BARU LINK 1,172,ANG MO KIO AVENUE 4,KEBUN BARU LINK 1,172 ANG MO KIO AVENUE 4 KEBUN BARU LINK 1 SINGAPORE 560172,560172,28349.9205368832,39632.2196041718,1.37469423247424,103.836462867365,103.836462867365,172 ANG MO KIO AVE 4
1,PCF SPARKLETOTS PRESCHOOL @ KEBUN BARU 172 (CC),172,ANG MO KIO AVENUE 4,PCF SPARKLETOTS PRESCHOOL @ KEBUN BARU 172 (CC),172 ANG MO KIO AVENUE 4 PCF SPARKLETOTS PRESCHOOL @ KEBUN BARU 172 (CC) SINGAPORE 560172,560172,28349.9209909029,39632.2185145244,1.37469422261984,103.836462871445,103.836462871445,172 ANG MO KIO AVE 4
2,CHENG SAN CREST,510,ANG MO KIO AVENUE 8,CHENG SAN CREST,510 ANG MO KIO AVENUE 8 CHENG SAN CREST SINGAPORE 560510,560510,29753.3009291003,39489.2179400064,1.37340092645025,103.849073244454,103.849073244454,510 ANG MO KIO AVE 8
3,THE SALVATION ARMY ANG MO KIO CHILD CARE CENTRE,610,ANG MO KIO AVENUE 4,THE SALVATION ARMY ANG MO KIO CHILD CARE CENTRE,610 ANG MO KIO AVENUE 4 THE SALVATION ARMY ANG MO KIO CHILD CARE CENTRE SINGAPORE 560610,560610,28649.7688949835,40151.9743075874,1.37939470300077,103.839157232686,103.839157232686,610 ANG MO KIO AVE 4
4,YIO CHU KANG GREEN,610,ANG MO KIO AVENUE 4,YIO CHU KANG GREEN,610 ANG MO KIO AVENUE 4 YIO CHU KANG GREEN SINGAPORE 560610,560610,28649.7687436435,40151.975034019,1.37939470957037,103.839157231326,103.839157231326,610 ANG MO KIO AVE 4
5,TECK GHEE HORIZON,474,ANG MO KIO AVENUE 10,TECK GHEE HORIZON,474 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560474,560474,30748.4567525107,38312.3687072396,1.36275784702216,103.858015323667,103.858015323667,474 ANG MO KIO AVE 10
6,YIO CHU KANG GREEN,604,ANG MO KIO AVENUE 5,YIO CHU KANG GREEN,604 ANG MO KIO AVENUE 5 YIO CHU KANG GREEN SINGAPORE 560604,560604,28295.8099781042,40204.1514989082,1.37986658053966,103.835976650638,103.835976650638,604 ANG MO KIO AVE 5
7,YIO CHU KANG GROVE,154,ANG MO KIO AVENUE 5,YIO CHU KANG GROVE,154 ANG MO KIO AVENUE 5 YIO CHU KANG GROVE SINGAPORE 560154,560154,28880.5495885424,39805.4299570732,1.37626067387977,103.841230957516,103.841230957516,154 ANG MO KIO AVE 5
8,KEBUN BARU HEIGHTS,110,ANG MO KIO AVENUE 4,KEBUN BARU HEIGHTS,110 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560110,560110,28456.3560250094,39163.9502265006,1.37045937010888,103.837419259859,103.837419259859,110 ANG MO KIO AVE 4
9,CHENG SAN FAMILY SERVICE CENTRE,445,ANG MO KIO AVENUE 10,CHENG SAN FAMILY SERVICE CENTRE,445 ANG MO KIO AVENUE 10 CHENG SAN FAMILY SERVICE CENTRE SINGAPORE 560445,560445,30479.5248696785,38786.8619390614,1.36704901790399,103.85559882821,103.85559882821,445 ANG MO KIO AVE 10
