X,Y,Name,description,AWARDED_DATE,LANDYADDRESSPOINT,PHOTOURL,ADDRESSBLOCKHOUSENUMBER,EST_ORIGINAL_COMPLETION_DATE,STATUS,APPROXIMATE_GFA,INFO_ON_CO_LOCATORS,ADDRESSBUILDINGNAME,HUP_COMPLETION_DATE,LANDXADDRESSPOINT,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,IMPLEMENTATION_DATE,ADDRESS_MYENV,INC_CRC,FMEL_UPD_D
103.850164578087,1.2844248503218,Market Street Hawker Centre,New Replacement Centre,17/7/2017,29650.7,,50,15/11/2021,Existing (replacement),,hawker centre/commercial space,CapitaSpring,,29874.82,Market Street,48940,1/8/2017,,DB83871D0E006559,20221017143612
103.779784899996,1.43353885680037,Marsiling Mall Hawker Centre,New Replacement Centre,4/9/2015,46139.03,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/mmhc.jpg,4,8/11/2017,Existing (replacement),3661,hawker centre/supermarket/shops,Marsiling Mall,,22042.51,Woodlands Street 12,738623,1/1/2016,"Blk 4,Woodlands St 12,Singapore�738623",67D9A36B865FC1FB,20221017143612
103.804715225285,1.29748567106686,Margaret Drive Hawker Centre,New Replacement Centre,11/5/2015,31094.91,,38A,30/3/2022,Existing (replacement),,hawker centre/branch office/supermarket/shops/flats,,,24816.7,Margaret Drive,142038,2/12/2015,,C80F89698B7A8757,20221017143612
103.877060478847,1.39159232727757,Fernvale Hawker Centre & Market,New Centre,30/7/2018,41500.77,,21,22/3/2022,Existing (new),,hawker centre/market/community club,"Fernvale Community Club, Hawker Centre & Market",,32867.9,Sengkang West Avenue,797650,13/8/2018,,E3AB7D1743979E42,20221017143612
103.904805657576,1.40818996870647,One Punggol Hawker Centre,New Centre,8/8/2018,43336.13,,1,29/4/2022,Existing (new),,hawker centre/Regional Library/Senior Care Centre/Branch Office/Child Development Centre/Blood Collection Centre/Kidney Dialysis Centre/Childcare Centre,One Punggol,,35955.52,Punggol Drive,828629,29/8/2018,,4780858D968F79C9,20221017143612
103.822484958307,1.44901674160031,Bukit Canberra Hawker Centre,New Centre,1/5/2018,47850.43,,21,27/9/2022,Existing (new),,hawker centre/Town Sports and Recreational Centre/Primary Care Centre & Senior Care Centre,Bukit Canberra,,26794.39,Canberra Link,756973,17/5/2018,,B85FF6B6AA88649C,20221017143612
103.761017756804,1.38713573069818,Senja Hawker Centre,New Centre,11/12/2018,41008.06,,2,28/7/2022,Existing (new),,,,,19953.85,Senja Close,677632,1/3/2019,,739D3B1889BF778F,20221017143612
103.892403203249,1.38238755827879,Buangkok Hawker Centre,New Centre,18/9/2019,40482.99,,72,2023,Under Construction,,hawker centre/community club/bus interchange/private residential and commercial units,Sengkang Grand Mall,,34575.37,Compassvale Bow,544692,29/10/2019,,0FFF4B5257E65F57,20221017143612
103.741825836536,1.35521457121361,Bukit Batok West Hawker Centre,New Centre,31/12/2020,37478.45,,469A,2024,Under Construction,,hawker centre/flats,Harmony Village,,17817.9,Bukit Batok West Avenue 9,651469,21/1/2021,,E3C2D62809A47B74,20221017143612
103.808078713674,1.27324863952078,Telok Blangah Hawker Centre & Market,New Replacement Centre,29/4/2022,28414.9,,78C,2027,Under Construction,,hawker centre/market/flats,Telok Blangah Beacon,,25191,Telok Blangah Drive,103078,20/5/2022,,9BBE5ECFD4BA48D6,20221017143612
103.924844235398,1.33178125123252,Bedok North Street 3 Blk 538,HUP Standard Upgrading,,34887.31,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262227194623.jpg,538,30/4/1979,Existing,,,,3/12/2010,38185.86,Bedok North Street 3,460538,,"Blk 538, Bedok North Street 3, Singapore 460538",F1A5DD5A43FF421C,20221012163049
103.938732580554,1.33198706861747,Bedok North Street 4 Blk 85 (85 Fengshan Centre),HUP Standard Upgrading,,34910.13,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853253145.jpg,85,30/6/1977,Existing,,,,20/12/2012,39731.49,Bedok North Street 4,460085,,"Blk 85, Bedok North Street 4, Singapore 460085",CFC780A15F1768CE,20221012163049
