flat,park,park_dist,num_park_2km
172 ANG MO KIO AVE 4,Ang Mo Kio Town Garden West,0.724144077117561,3
510 ANG MO KIO AVE 8,Ang Mo Kio Town Garden East,0.3378132163723629,3
610 ANG MO KIO AVE 4,Ang Mo Kio Town Garden West,0.715619056844432,3
474 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,1.2138828978712297,1
604 ANG MO KIO AVE 5,Ang Mo Kio Town Garden West,0.999570792707835,3
154 ANG MO KIO AVE 5,Ang Mo Kio Town Garden West,0.3001855680808015,3
110 ANG MO KIO AVE 4,Bishan-Ang Mo Kio Park,0.5979542130902132,3
445 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.6979791826662235,2
476 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,1.233671820552475,1
631 ANG MO KIO AVE 4,Ang Mo Kio Town Garden West,0.6448512917483308,3
155 ANG MO KIO AVE 4,Ang Mo Kio Town Garden West,0.3722282199317475,3
560 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.9700035458794533,2
561 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.8211282378064989,2
405 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,1.0735969287987845,3
548 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.7712246753069767,2
126 ANG MO KIO AVE 3,Ang Mo Kio Town Garden West,0.288950358378013,3
558 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.9717342501913773,2
212 ANG MO KIO AVE 3,Ang Mo Kio Town Garden West,0.6113306351194477,3
333 ANG MO KIO AVE 1,Ang Mo Kio Town Garden East,1.0427345562892032,3
114 ANG MO KIO AVE 4,Ang Mo Kio Town Garden West,0.7690501868526279,3
151 ANG MO KIO AVE 5,Ang Mo Kio Town Garden West,0.3440391569459413,3
503 ANG MO KIO AVE 5,Ang Mo Kio Town Garden East,0.5543573952094907,3
230 ANG MO KIO AVE 3,Bishan-Ang Mo Kio Park,0.43848286020360433,3
157 ANG MO KIO AVE 4,Ang Mo Kio Town Garden West,0.4150180965539464,3
213 ANG MO KIO AVE 3,Bishan-Ang Mo Kio Park,0.622031987858427,3
419 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.7187627817646594,3
