Station Code,MRT Station English Name,MRT Station Chinese Name,MRT Line English,MRT Line Chinese
NS10,Admiralty,海军部,North South Line,南北线
EW9,Aljunied,阿裕尼,East West Line,东西线
NS16,Ang Mo Kio,宏茂桥,North South Line,南北线
CR2,Aviation Park,航空园,Cross Island Line,跨岛地铁线
JS7,Bahar Junction,峇哈路口,Jurong Region Line,裕廊区域线
SE3,Bakau,码高,Sengkang LRT,盛港轻轨线
BP9,Bangkit,万吉,Bukit Panjang LRT,武吉班让轻轨线
CC12,Bartley,巴特礼,Circle Line,环线
DT16,Bayfront,海湾舫,Downtown Line,滨海市区线
CE1,Bayfront,海湾舫,Circle Line Extension,环线延长线
TE29,Bayshore,碧湾,Thomson-East Coast Line,汤申-东海岸地铁线
DT5,Beauty World,美世界,Downtown Line,滨海市区线
EW5,Bedok,勿洛,East West Line,东西线
DT29,Bedok North,勿洛北,Downtown Line,滨海市区线
DT30,Bedok Reservoir,勿洛蓄水池,Downtown Line,滨海市区线
TE30,Bedok South,勿洛南,Thomson-East Coast Line,汤申-东海岸地铁线
DT21,Bencoolen,明古连,Downtown Line,滨海市区线
DT23,Bendemeer,明地迷亚,Downtown Line,滨海市区线
NS17,Bishan,碧山,North South Line,南北线
CC15,Bishan,碧山,Circle Line,环线
NE9,Boon Keng,文庆,North East Line,东北线
EW27 / JS8,Boon Lay,文礼,East West Line / Jurong Region Line,东西线 / 裕廊区域线
DT9,Botanic Gardens,植物园,Downtown Line,滨海市区线
CC19,Botanic Gardens,植物园,Circle Line,环线
NS18,Braddell,布莱德,North South Line,南北线
CC2,Bras Basah,百胜,Circle Line,环线
TE7,Bright Hill,光明山,Thomson-East Coast Line,汤申-东海岸地铁线
NE15,Buangkok,万国,North East Line,东北线
EW12,Bugis,武吉士,East West Line,东西线
DT14,Bugis,武吉士,Downtown Line,滨海市区线
NS2,Bukit Batok,武吉巴督,North South Line,南北线
JE3,Bukit Batok West,武吉巴督西,Jurong Region Line,裕廊区域线
NS3,Bukit Gombak,武吉甘柏,North South Line,南北线
