flat,park,park_dist,num_park_2km,mall,mall_dist,num_mall_2km,top_school,top_school_dist,num_top_school_2km,hawker,hakwer_dist,num_hawker_2km
634 WOODLANDS RING RD,Admiralty Park,2.11,0,Admiralty Place,0.42,6,Admiralty Primary School,0.77,2,Kampung Admiralty Hawker Centre,0.48,1
476C CHOA CHU KANG AVE 5,Choa Chu Kang Park,2.04,0,Sunshine Place,0.14,5,South View Primary School,1.05,1,Bukit Batok West Hawker Centre,2.49,0
606 JURONG WEST ST 65,Jurong Central Park,0.96,1,Pioneer Mall,0.47,4,Frontier Primary School,0.15,2,Jurong West Hawker Centre,0.42,2
385 BT BATOK WEST AVE 5,Bukit Batok Town Park,0.76,1,HillV2,1.35,6,Dazhong Primary School,0.63,1,Bukit Batok West Hawker Centre,1.47,1
688D WOODLANDS DR 75,Admiralty Park,1.76,1,Admiralty Place,0.74,5,Riverside Primary School,0.77,3,Kampung Admiralty Hawker Centre,0.87,2
127 PASIR RIS ST 11,Pasir Ris Town Park,0.69,3,White Sands,0.95,5,Pasir Ris Primary School,1.11,3,Pasir Ris Central Hawker Centre,0.93,1
281 BISHAN ST 24,Bishan-Ang Mo Kio Park,1.27,3,Junction 8,0.9,6,Ai Tong School,1.34,1,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),0.86,8
671A CHOA CHU KANG CRES,Choa Chu Kang Park,1.1,1,Yew Tee Square,0.42,4,South View Primary School,2.27,0,Senja Hawker Centre,2.21,0
317B YISHUN AVE 9,Yishun Pond Park,0.77,3,Junction Nine,0.19,4,Chongfu School,0.62,3,Yishun Park Hawker Centre,1.03,2
819 TAMPINES ST 81,Sun Plaza Park,1.39,1,Our Tampines Hub,0.67,6,Tampines Primary School,0.82,5,Hawker Centre @ Our Tampines Hub,0.69,4
127C KIM TIAN RD,Tiong Bahru Park,0.88,5,Tiong Bahru Plaza,0.6,7,Radin Mas Primary School,0.97,2,Tiong Bahru Market,0.47,18
230 BT BATOK EAST AVE 3,Bukit Batok Town Park,1.09,2,West Mall,0.72,4,Keming Primary School,0.31,3,Bukit Batok West Hawker Centre,1.68,2
534 JELAPANG RD,Choa Chu Kang Park,1.92,1,Greenridge Shopping Centre,0.24,6,West Spring Primary School,0.6,3,Senja Hawker Centre,0.47,2
450 JURONG WEST ST 42,Jurong Central Park,1.84,3,Boon Lay Shopping Centre,0.82,3,Rulang Primary School,0.55,2,Jurong West Street 52 Blk 505,0.24,4
16 OUTRAM HILL,Pearl's Hill City Park,0.28,10,People's Park Complex,0.67,21,River Valley Primary School,0.86,2,Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),0.37,14
166A YUNG KUANG RD,Japanese Garden,1.15,3,Taman Jurong Shopping Centre,0.43,3,Rulang Primary School,1.75,1,Taman Jurong Market and Food Centre,0.37,3
646 WOODLANDS RING RD,Admiralty Park,1.88,1,Admiralty Place,0.31,6,Admiralty Primary School,0.56,2,Kampung Admiralty Hawker Centre,0.26,1
766 CHOA CHU KANG NTH 5,Choa Chu Kang Park,0.18,1,Yew Tee Point,0.52,7,South View Primary School,1.37,2,Senja Hawker Centre,1.45,1
140 PETIR RD,Zhenghua Park,1.33,2,Hillion Mall,0.67,9,Bukit Panjang Primary School,0.21,3,Bukit Panjang Hawker Centre,0.46,2
871B TAMPINES ST 86,Sun Plaza Park,1.33,2,Our Tampines Hub,0.97,5,Tampines Primary School,1.53,2,Hawker Centre @ Our Tampines Hub,0.91,2
661A JURONG WEST ST 64,Jurong Central Park,0.41,1,Jurong Point,0.48,5,Frontier Primary School,0.62,3,Jurong West Hawker Centre,1.06,3
816B KEAT HONG LINK,Choa Chu Kang Park,1.79,1,Keat Hong Shopping Centre,0.48,8,South View Primary School,0.67,2,Senja Hawker Centre,1.86,1
401 SERANGOON AVE 1,Japanese Cemetery Park,2.15,0,NEX,0.51,4,Yangzheng Primary School,0.58,1,Woodleigh Village Hawker Centre,0.73,1
534 HOUGANG ST 52,Punggol Park,0.65,2,Hougang Green Shopping Mall,0.38,6,Xinmin Primary School,1.04,3,Buangkok Hawker Centre,0.62,2
93 PAYA LEBAR WAY,Kallang Riverside Park,2.79,0,Paya Lebar Square,0.66,2,Kong Hwa School,1.3,2,Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),0.26,10
295 PUNGGOL CTRL,Punggol Waterway Park,1.01,2,Waterway Point,0.58,7,Punggol View Primary School,0.36,8,One Punggol Hawker Centre,0.7,3
868A TAMPINES AVE 8,Sun Plaza Park,1.3,2,Our Tampines Hub,0.87,5,Tampines Primary School,1.42,2,Hawker Centre @ Our Tampines Hub,0.82,2
44 OWEN RD,Toa Payoh Town Park,1.68,3,City Square Mall,0.82,13,Anglo-Chinese School (Junior),1.2,1,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),0.07,9
471 PASIR RIS DR 6,Pasir Ris Town Park,0.66,2,Downtown East,0.32,2,Pasir Ris Primary School,0.59,1,Pasir Ris Central Hawker Centre,0.7,1
946 TAMPINES AVE 4,Sun Plaza Park,0.93,2,Our Tampines Hub,0.23,6,Tampines Primary School,0.48,3,Hawker Centre @ Our Tampines Hub,0.28,2
10 JLN KUKOH,Pearl's Hill City Park,0.28,11,People's Park Complex,0.51,24,River Valley Primary School,0.87,1,Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),0.17,14
428 JURONG WEST AVE 1,Chinese Garden,1.33,2,Boon Lay Shopping Centre,1.54,2,Rulang Primary School,0.93,2,Jurong West Street 52 Blk 505,0.79,6
681B JURONG WEST CTRL 1,Jurong Central Park,0.81,1,Jurong Point,0.58,4,Westwood Primary School,0.56,3,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),0.87,3
