VALUE,LABEL
ANG MO KIO,0
BEDOK,1
BISHAN,2
BUKIT BATOK,3
BUKIT MERAH,4
BUKIT PANJANG,5
BUKIT TIMAH,6
CENTRAL AREA,7
CHOA CHU KANG,8
CLEMENTI,9
GEYLANG,10
HOUGANG,11
JURONG EAST,12
JURONG WEST,13
KALLANG/WHAMPOA,14
LIM CHU KANG,15
MARINE PARADE,16
PASIR RIS,17
PUNGGOL,18
QUEENSTOWN,19
SEMBAWANG,20
SENGKANG,21
SERANGOON,22
TAMPINES,23
TOA PAYOH,24
WOODLANDS,25
YISHUN,26
1 ROOM,0
2 ROOM,1
3 ROOM,2
4 ROOM,3
5 ROOM,4
EXECUTIVE,5
MULTI-GENERATION,6
2 ROOM,0
3RD GENERATION,1
ADJOURNED FLAT,2
APARTMENT,3
DBSS,4
IMPROVED,5
IMPROVED MAISONETTE,6
MAISONETTE,7
MODEL A,8
MODEL A2,9
MODEL A-MAISONETTE,10
MULTI-GENERATION,11
NEW GENERATION,12
PREMIUM APARTMENT,13
PREMIUM APARTMENT LOFT,14
PREMIUM MAISONETTE,15
SIMPLIFIED,16
STANDARD,17
TERRACE,18
TYPE S1,19
TYPE S2,20
01 TO 03,0
01 TO 05,1
04 TO 06,2
06 TO 10,3
07 TO 09,4
10 TO 12,5
11 TO 15,6
13 TO 15,7
16 TO 18,8
16 TO 20,9
19 TO 21,10
21 TO 25,11
22 TO 24,12
25 TO 27,13
26 TO 30,14
28 TO 30,15
31 TO 33,16
31 TO 35,17
34 TO 36,18
36 TO 40,19
37 TO 39,20
40 TO 42,21
43 TO 45,22
46 TO 48,23
49 TO 51,24
