,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
0,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7,PEI WAH AVENUE,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7 PEI WAH AVENUE PEI HWA PRESBYTERIAN PRIMARY SCHOOL SINGAPORE 597610,597610,21632.898745548,35581.0631004851,1.33805634613048,103.776106448614,103.776106448614,Pei Hwa Presbyterian Primary School
1,GONGSHANG PRIMARY SCHOOL,1,TAMPINES STREET 42,GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42 GONGSHANG PRIMARY SCHOOL SINGAPORE 529176,529176,40886.8508355999,37702.2195482217,1.35723721393297,103.949115320172,103.949115320172,Gongshang Primary School
2,COMMIT LEARNING SCHOOLHOUSE @ GONGSHANG PRIMARY SCHOOL,1,TAMPINES STREET 42,COMMIT LEARNING SCHOOLHOUSE @ GONGSHANG PRIMARY SCHOOL,1 TAMPINES STREET 42 COMMIT LEARNING SCHOOLHOUSE @ GONGSHANG PRIMARY SCHOOL SINGAPORE 529176,529176,40890.1319455709,37688.8239677399,1.35711606790292,103.949144797277,103.949144797277,Gongshang Primary School
3,RIVERSIDE PRIMARY SCHOOL,110,WOODLANDS CRESCENT,RIVERSIDE PRIMARY SCHOOL,110 WOODLANDS CRESCENT RIVERSIDE PRIMARY SCHOOL SINGAPORE 737803,737803,24496.0361921666,47632.6851746552,1.44704734253719,103.801831963297,103.801831963297,Riverside Primary School
4,MERCU STUDENT CARE CENTRE @ RIVERSIDE PRIMARY SCHOOL,110,WOODLANDS CRESCENT,MERCU STUDENT CARE CENTRE @ RIVERSIDE PRIMARY SCHOOL,110 WOODLANDS CRESCENT MERCU STUDENT CARE CENTRE @ RIVERSIDE PRIMARY SCHOOL SINGAPORE 737803,737803,24502.3868994378,47627.9217809848,1.44700426493785,103.801889031334,103.801889031334,Riverside Primary School
5,COMMIT LEARNING SCHOOLHOUSE @ RED SWASTIKA SCHOOL,350,BEDOK NORTH AVENUE 3,COMMIT LEARNING SCHOOLHOUSE @ RED SWASTIKA SCHOOL,350 BEDOK NORTH AVENUE 3 COMMIT LEARNING SCHOOLHOUSE @ RED SWASTIKA SCHOOL SINGAPORE 469719,469719,39240.1303829281,35138.9475005791,1.33405659580859,103.934317528484,103.934317528484,Red Swastika School
6,RED SWASTIKA SCHOOL,350,BEDOK NORTH AVENUE 3,RED SWASTIKA SCHOOL,350 BEDOK NORTH AVENUE 3 RED SWASTIKA SCHOOL SINGAPORE 469719,469719,39241.7795945574,35048.9817909673,1.33324297847732,103.934332314404,103.934332314404,Red Swastika School
7,LEARNING LEAP PTE LTD (PUNGGOL GREEN PRIMARY SCHOOL),98,PUNGGOL WALK,LEARNING LEAP PTE LTD (PUNGGOL GREEN PRIMARY SCHOOL),98 PUNGGOL WALK LEARNING LEAP PTE LTD (PUNGGOL GREEN PRIMARY SCHOOL) SINGAPORE 828772,828772,35286.5548319491,42621.3463525623,1.40172590450528,103.898794262307,103.898794262307,Punggol Green Primary School
8,PUNGGOL GREEN PRIMARY SCHOOL,98,PUNGGOL WALK,PUNGGOL GREEN PRIMARY SCHOOL,98 PUNGGOL WALK PUNGGOL GREEN PRIMARY SCHOOL SINGAPORE 828772,828772,35287.340952022,42637.5237120874,1.40187220643293,103.898801330302,103.898801330302,Punggol Green Primary School
9,BIG HEART STUDENT CARE (PRINCESS ELIZABETH PRIMARY SCHOOL),30,BUKIT BATOK WEST AVENUE 3,BIG HEART STUDENT CARE (PRINCESS ELIZABETH PRIMARY SCHOOL),30 BUKIT BATOK WEST AVENUE 3 BIG HEART STUDENT CARE (PRINCESS ELIZABETH PRIMARY SCHOOL) SINGAPORE 659163,659163,17694.7193374345,36812.396792436,1.34919098857585,103.740719208011,103.740719208011,Princess Elizabeth Primary School
10,PRINCESS ELIZABETH PRIMARY SCHOOL,30,BUKIT BATOK WEST AVENUE 3,PRINCESS ELIZABETH PRIMARY SCHOOL,30 BUKIT BATOK WEST AVENUE 3 PRINCESS ELIZABETH PRIMARY SCHOOL SINGAPORE 659163,659163,17728.1546840398,36813.7803722396,1.349203512653,103.74101964471,103.74101964471,Princess Elizabeth Primary School
11,WESTWOOD PRIMARY SCHOOL,1,JURONG WEST STREET 73,WESTWOOD PRIMARY SCHOOL,1 JURONG WEST STREET 73 WESTWOOD PRIMARY SCHOOL SINGAPORE 649188,649188,13222.5567915821,36590.7433790993,1.34718456606375,103.70053420978,103.70053420978,Westwood Primary School
12,AI TONG SCHOOL,100,BRIGHT HILL DRIVE,AI TONG SCHOOL,100 BRIGHT HILL DRIVE AI TONG SCHOOL SINGAPORE 579646,579646,27966.8088298785,38071.9191181567,1.3605834338904,103.833020333986,103.833020333986,Ai Tong School
13,LEARNING LEAP PTE LTD (FRONTIER PRIMARY SCHOOL),20,JURONG WEST STREET 61,LEARNING LEAP PTE LTD (FRONTIER PRIMARY SCHOOL),20 JURONG WEST STREET 61 LEARNING LEAP PTE LTD (FRONTIER PRIMARY SCHOOL) SINGAPORE 648200,648200,13127.742393123,35425.1252935641,1.3366431119298,103.699682818103,103.699682818103,Frontier Primary School
14,FRONTIER PRIMARY SCHOOL,20,JURONG WEST STREET 61,FRONTIER PRIMARY SCHOOL,20 JURONG WEST STREET 61 FRONTIER PRIMARY SCHOOL SINGAPORE 648200,648200,13129.8467444237,35399.679120725,1.33641298743234,103.69970173931,103.69970173931,Frontier Primary School
15,YMCA STUDENT CARE CENTRE @ OASIS PRIMARY SCHOOL,71,EDGEFIELD PLAINS,YMCA STUDENT CARE CENTRE @ OASIS PRIMARY SCHOOL,71 EDGEFIELD PLAINS YMCA STUDENT CARE CENTRE @ OASIS PRIMARY SCHOOL SINGAPORE 828716,828716,36633.3703859271,42923.6562544368,1.4044595121197,103.910896590133,103.910896590133,Oasis Primary School
16,OASIS PRIMARY SCHOOL,71,EDGEFIELD PLAINS,OASIS PRIMARY SCHOOL,71 EDGEFIELD PLAINS OASIS PRIMARY SCHOOL SINGAPORE 828716,828716,36658.2990973163,42941.8599344008,1.40462413200793,103.911120600638,103.911120600638,Oasis Primary School
17,TEMASEK PRIMARY SCHOOL,501,BEDOK SOUTH AVENUE 3,TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVENUE 3 TEMASEK PRIMARY SCHOOL SINGAPORE 469300,469300,40494.7969370941,33331.1191061512,1.31770677551333,103.945590669163,103.945590669163,Temasek Primary School
18,PUNGGOL VIEW PRIMARY SCHOOL,9,PUNGGOL PLACE,PUNGGOL VIEW PRIMARY SCHOOL,9 PUNGGOL PLACE PUNGGOL VIEW PRIMARY SCHOOL SINGAPORE 828845,828845,35994.5599585725,42999.5250743832,1.40514582647962,103.905156371376,103.905156371376,Punggol View Primary School
19,WEST SPRING PRIMARY SCHOOL,60,BUKIT PANJANG RING ROAD,WEST SPRING PRIMARY SCHOOL,60 BUKIT PANJANG RING ROAD WEST SPRING PRIMARY SCHOOL SINGAPORE 679946,679946,20530.0971989501,41262.9989389312,1.38944145898943,103.766195711835,103.766195711835,West Spring Primary School
20,BIG HEART STUDENT CARE (CHONGZHENG PRIMARY SCHOOL),1,TAMPINES STREET 21,BIG HEART STUDENT CARE (CHONGZHENG PRIMARY SCHOOL),1 TAMPINES STREET 21 BIG HEART STUDENT CARE (CHONGZHENG PRIMARY SCHOOL) SINGAPORE 529392,529392,41131.9416870372,36969.5707135443,1.35061130568554,103.951317297552,103.951317297552,Chongzheng Primary School
21,CHONGZHENG PRIMARY SCHOOL,1,TAMPINES STREET 21,CHONGZHENG PRIMARY SCHOOL,1 TAMPINES STREET 21 CHONGZHENG PRIMARY SCHOOL SINGAPORE 529392,529392,41141.094059418,36980.1959562805,1.35070739237744,103.951399541868,103.951399541868,Chongzheng Primary School
22,ACE @ WORK SCHOOLCARE PTE LTD (PEI CHUN PUBLIC SCHOOL),16,LORONG 7 TOA PAYOH,ACE @ WORK SCHOOLCARE PTE LTD (PEI CHUN PUBLIC SCHOOL),16 LORONG 7 TOA PAYOH ACE @ WORK SCHOOLCARE PTE LTD (PEI CHUN PUBLIC SCHOOL) SINGAPORE 319320,319320,30450.8965329072,35439.718033338,1.33677864390672,103.855341310212,103.855341310212,Pei Chun Public School
23,PEI CHUN PUBLIC SCHOOL,16,LORONG 7 TOA PAYOH,PEI CHUN PUBLIC SCHOOL,16 LORONG 7 TOA PAYOH PEI CHUN PUBLIC SCHOOL SINGAPORE 319320,319320,30478.0803604238,35505.5040733535,1.33737358725951,103.855585578061,103.855585578061,Pei Chun Public School
24,SOUTH VIEW PRIMARY SCHOOL,6,CHOA CHU KANG CENTRAL,SOUTH VIEW PRIMARY SCHOOL,6 CHOA CHU KANG CENTRAL SOUTH VIEW PRIMARY SCHOOL SINGAPORE 689762,689762,18313.2418920035,40403.3706761971,1.38166664389749,103.746275846011,103.746275846011,South View Primary School
25,RULANG PRIMARY SCHOOL,6,JURONG WEST STREET 52,RULANG PRIMARY SCHOOL,6 JURONG WEST STREET 52 RULANG PRIMARY SCHOOL SINGAPORE 649295,649295,15217.2735802168,36541.3390983045,1.34673868889096,103.718457955487,103.718457955487,Rulang Primary School
