,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
0,ORCHARD 22,22,ORCHARD ROAD,ORCHARD 22,22 ORCHARD ROAD ORCHARD 22 SINGAPORE 238885,238885,29483.4266525954,31269.9380022548,1.29906869032036,103.846647830444,103.846647830444,Orchard
1,ORCHARD BEL AIR,,NIL,ORCHARD BEL AIR,ORCHARD BEL AIR,NIL,27076.4526311476,31636.6964927483,1.30238554650367,103.825020082613,103.825020082613,Orchard
2,ORCHARD BEL AIR,245,ORCHARD BOULEVARD,ORCHARD BEL AIR,245 ORCHARD BOULEVARD ORCHARD BEL AIR SINGAPORE 248648,248648,27071.2615811359,31629.2464523073,1.30231817080686,103.824973438871,103.824973438871,Orchard
3,ORCHARD BOULEVARD MRT STATION (TE13),20,ORCHARD BOULEVARD,ORCHARD BOULEVARD MRT STATION (TE13),20 ORCHARD BOULEVARD ORCHARD BOULEVARD MRT STATION (TE13) SINGAPORE 248654,248654,26948.2945375377,31640.7552477568,1.30242224836722,103.823868523249,103.823868523249,Orchard
4,ORCHARD BOULEVARD MRT STATION EXIT 1,,NIL,ORCHARD BOULEVARD MRT STATION EXIT 1,ORCHARD BOULEVARD MRT STATION EXIT 1,NIL,26924.0187065573,31773.5363218598,1.30362307278619,103.82365038919,103.82365038919,Orchard
5,ORCHARD BOULEVARD MRT STATION EXIT 2,,NIL,ORCHARD BOULEVARD MRT STATION EXIT 2,ORCHARD BOULEVARD MRT STATION EXIT 2,NIL,26951.5984998364,31645.9053149186,1.30246882387243,103.823898210692,103.823898210692,Orchard
6,ORCHARD BUILDING,1,GRANGE ROAD,ORCHARD BUILDING,1 GRANGE ROAD ORCHARD BUILDING SINGAPORE 239693,239693,28449.6799671808,31527.5861623641,1.30139880165788,103.83735915836,103.83735915836,Orchard
7,ORCHARD CENTRAL,181,ORCHARD ROAD,ORCHARD CENTRAL,181 ORCHARD ROAD ORCHARD CENTRAL SINGAPORE 238896,238896,28680.6729301102,31465.6765127573,1.30083890839245,103.839434733899,103.839434733899,Orchard
8,ORCHARD COURT,19,OXLEY ROAD,ORCHARD COURT,19 OXLEY ROAD ORCHARD COURT SINGAPORE 238619,238619,28931.372469198,31225.6489199046,1.2986681768518,103.841687375699,103.841687375699,Orchard
9,ORCHARD COURT,27,OXLEY ROAD,ORCHARD COURT,27 OXLEY ROAD ORCHARD COURT SINGAPORE 238621,238621,28899.9925002949,31197.9123384692,1.29841733789337,103.841405411908,103.841405411908,Orchard
10,KHATIB BONGSU PARK CONNECTOR,,NIL,KHATIB BONGSU PARK CONNECTOR,KHATIB BONGSU PARK CONNECTOR,NIL,28801.9598887358,45256.276096113,1.42555616856012,103.840524922186,103.840524922186,Khatib
11,KHATIB CAMP,300,SEMBAWANG ROAD,KHATIB CAMP,300 SEMBAWANG ROAD KHATIB CAMP SINGAPORE 758532,758532,27348.5517255273,44881.7437280212,1.42216903693547,103.827464727929,103.827464727929,Khatib
12,KHATIB CAMP,306,SEMBAWANG ROAD,KHATIB CAMP,306 SEMBAWANG ROAD KHATIB CAMP SINGAPORE 758538,758538,27348.5516952593,44881.7436977532,1.42216903666175,103.827464727657,103.827464727657,Khatib
13,KHATIB CAMP,302,SEMBAWANG ROAD,KHATIB CAMP,302 SEMBAWANG ROAD KHATIB CAMP SINGAPORE 758534,758534,27348.5516952593,44881.7436977532,1.42216903666175,103.827464727657,103.827464727657,Khatib
14,KHATIB CAMP,304,SEMBAWANG ROAD,KHATIB CAMP,304 SEMBAWANG ROAD KHATIB CAMP SINGAPORE 758536,758536,27348.5516952593,44881.7436977532,1.42216903666175,103.827464727657,103.827464727657,Khatib
15,KHATIB CAMP,308,SEMBAWANG ROAD,KHATIB CAMP,308 SEMBAWANG ROAD KHATIB CAMP SINGAPORE 758540,758540,27348.5516952593,44881.7436977532,1.42216903666175,103.827464727657,103.827464727657,Khatib
16,KHATIB CAMP,312,SEMBAWANG ROAD,KHATIB CAMP,312 SEMBAWANG ROAD KHATIB CAMP SINGAPORE 757753,757753,27348.5516952593,44881.7436977532,1.42216903666175,103.827464727657,103.827464727657,Khatib
17,KHATIB CAMP,310,SEMBAWANG ROAD,KHATIB CAMP,310 SEMBAWANG ROAD KHATIB CAMP SINGAPORE 758542,758542,27348.5516952593,44881.7436977532,1.42216903666175,103.827464727657,103.827464727657,Khatib
18,KHATIB CENTRAL,849,YISHUN RING ROAD,KHATIB CENTRAL,849 YISHUN RING ROAD KHATIB CENTRAL SINGAPORE 760849,760849,28225.8218641784,44305.8090740461,1.41696049844254,103.835347787187,103.835347787187,Khatib
