,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
0,TELOK AYER CONSERVATION AREA,100,AMOY STREET,TELOK AYER CONSERVATION AREA,100 AMOY STREET TELOK AYER CONSERVATION AREA SINGAPORE 069920,069920,29545.8192581516,29333.8618907183,1.28155949555229,103.847208361003,103.847208361003,100 AM[1]
1,AMARA SINGAPORE,100,TRAS STREET,AMARA SINGAPORE,100 TRAS STREET AMARA SINGAPORE SINGAPORE 079027,079027,29138.9450046336,28601.3295877781,1.2749347475094,103.843552412915,103.843552412915,100 AM[1]
2,100 AM,100,TRAS STREET,100 AM,100 TRAS STREET 100 AM SINGAPORE 079027,079027,29131.8164707171,28573.4721462838,1.27468281482263,103.843488359469,103.843488359469,100 AM[1]
3,AMAR KIDZ @ PASIR PANJANG LLP,100,PASIR PANJANG ROAD,AMAR KIDZ @ PASIR PANJANG LLP,100 PASIR PANJANG ROAD AMAR KIDZ @ PASIR PANJANG LLP SINGAPORE 118518,118518,23820.115794179,28656.0198087133,1.27542909113256,103.795760800599,103.795760800599,100 AM[1]
4,313 @ SOMERSET,313,ORCHARD ROAD,313 @ SOMERSET,313 ORCHARD ROAD 313 @ SOMERSET SINGAPORE 238895,238895,28561.1386390822,31485.0772309396,1.30101436404056,103.838360664485,103.838360664485,313@Somerset[2]
5,DBS 313 @ SOMERSET,313,ORCHARD ROAD,DBS 313 @ SOMERSET,313 ORCHARD ROAD DBS 313 @ SOMERSET SINGAPORE 238895,238895,28576.7001964785,31483.9930923004,1.30100455918816,103.838500492119,103.838500492119,313@Somerset[2]
6,APERIA,10,KALLANG AVENUE,APERIA,10 KALLANG AVENUE APERIA SINGAPORE 339510,339510,31449.4111944707,32531.0590828769,1.3104736675734,103.86431321816,103.86431321816,Aperia
7,APERIA,8,KALLANG AVENUE,APERIA,8 KALLANG AVENUE APERIA SINGAPORE 339509,339509,31406.7146015475,32574.5211833753,1.31086672816827,103.863929573292,103.863929573292,Aperia
8,APERIA,12,KALLANG AVENUE,APERIA,12 KALLANG AVENUE APERIA SINGAPORE 339511,339511,31450.8833081266,32446.7500659395,1.3097112065077,103.864326436447,103.864326436447,Aperia
9,BALESTIER HILL SHOPPING CENTRE,1,THOMSON ROAD,BALESTIER HILL SHOPPING CENTRE,1 THOMSON ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 300001,300001,29029.7692046016,34203.1838174984,1.32559594839311,103.842571612968,103.842571612968,Balestier Hill Shopping Centre
10,BALESTIER HILL SHOPPING CENTRE,2,BALESTIER ROAD,BALESTIER HILL SHOPPING CENTRE,2 BALESTIER ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 320002,320002,29070.2638017088,34236.3844964262,1.32589620218837,103.842935480003,103.842935480003,Balestier Hill Shopping Centre
11,BALESTIER HILL SHOPPING CENTRE,1A,THOMSON ROAD,BALESTIER HILL SHOPPING CENTRE,1A THOMSON ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 301001,301001,29081.2672731699,34219.3042732142,1.32574173430776,103.843034351562,103.843034351562,Balestier Hill Shopping Centre
12,BALESTIER HILL SHOPPING CENTRE,2A,BALESTIER ROAD,BALESTIER HILL SHOPPING CENTRE,2A BALESTIER ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 321002,321002,29159.9587036697,34265.8946909029,1.32616307866261,103.843741438467,103.843741438467,Balestier Hill Shopping Centre
13,BUGIS JUNCTION,200,VICTORIA STREET,BUGIS JUNCTION,200 VICTORIA STREET BUGIS JUNCTION SINGAPORE 188021,188021,30458.7085178969,31274.8305191435,1.29911287475873,103.855411173758,103.855411173758,Bugis Junction
14,STANDARD CHARTERED BANK BUGIS JUNCTION,200,VICTORIA STREET,STANDARD CHARTERED BANK BUGIS JUNCTION,200 VICTORIA STREET STANDARD CHARTERED BANK BUGIS JUNCTION SINGAPORE 188021,188021,30463.0657454925,31277.5172567181,1.2991371723215,103.855450325604,103.855450325604,Bugis Junction
15,BUGIS JUNCTION TOWERS,230,VICTORIA STREET,BUGIS JUNCTION TOWERS,230 VICTORIA STREET BUGIS JUNCTION TOWERS SINGAPORE 188024,188024,30519.2752678711,31352.2039302923,1.29981260775979,103.855955399263,103.855955399263,Bugis Junction
16,OCBC PARCO BUGIS JUNCTION,230,VICTORIA STREET,OCBC PARCO BUGIS JUNCTION,230 VICTORIA STREET OCBC PARCO BUGIS JUNCTION SINGAPORE 188024,188024,30515.7317042127,31352.6231115982,1.29981639897451,103.855923558787,103.855923558787,Bugis Junction
17,DBS BUGIS JUNCTION,230,VICTORIA STREET,DBS BUGIS JUNCTION,230 VICTORIA STREET DBS BUGIS JUNCTION SINGAPORE 188024,188024,30526.844231219,31360.5606179163,1.29988818208147,103.85602341047,103.85602341047,Bugis Junction
18,UOB BUGIS JUNCTION,230,VICTORIA STREET,UOB BUGIS JUNCTION,230 VICTORIA STREET UOB BUGIS JUNCTION SINGAPORE 188024,188024,30534.7817375371,31352.6231115982,1.29981639742783,103.856094731885,103.856094731885,Bugis Junction
