,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
0,ADMIRALTY INDUSTRIAL PARK,19,WOODLANDS INDUSTRIAL PARK E1,ADMIRALTY INDUSTRIAL PARK,19 WOODLANDS INDUSTRIAL PARK E1 ADMIRALTY INDUSTRIAL PARK SINGAPORE 757719,757719,23833.2189254025,48400.4449309818,1.45399059016631,103.795875774662,103.795875774662,Admiralty Park
1,MARSILING ADMIRALTY PARK,201,MARSILING DRIVE,MARSILING ADMIRALTY PARK,201 MARSILING DRIVE MARSILING ADMIRALTY PARK SINGAPORE 730201,730201,21558.6278935345,47152.0607692488,1.44270022874362,103.775436532502,103.775436532502,Admiralty Park
2,MARSILING ADMIRALTY PARK,202,MARSILING DRIVE,MARSILING ADMIRALTY PARK,202 MARSILING DRIVE MARSILING ADMIRALTY PARK SINGAPORE 730202,730202,21528.386999662,47201.9289674293,1.44315121142693,103.775164777049,103.775164777049,Admiralty Park
3,MARSILING ADMIRALTY PARK,203,MARSILING DRIVE,MARSILING ADMIRALTY PARK,203 MARSILING DRIVE MARSILING ADMIRALTY PARK SINGAPORE 730203,730203,21445.1278882762,47271.7312056664,1.44378245782924,103.774416596146,103.774416596146,Admiralty Park
4,MARSILING ADMIRALTY PARK,204,MARSILING DRIVE,MARSILING ADMIRALTY PARK,204 MARSILING DRIVE MARSILING ADMIRALTY PARK SINGAPORE 730204,730204,21401.7937002759,47319.6576824244,1.44421587707158,103.77402718469,103.77402718469,Admiralty Park
5,MARSILING ADMIRALTY PARK,205,MARSILING DRIVE,MARSILING ADMIRALTY PARK,205 MARSILING DRIVE MARSILING ADMIRALTY PARK SINGAPORE 730205,730205,21341.361915241,47400.408788681,1.4449461460443,103.773484126567,103.773484126567,Admiralty Park
6,MARSILING ADMIRALTY PARK,206,MARSILING DRIVE,MARSILING ADMIRALTY PARK,206 MARSILING DRIVE MARSILING ADMIRALTY PARK SINGAPORE 730206,730206,21328.6428847313,47451.4007765614,1.44540729578602,103.77336982144,103.77336982144,Admiralty Park
7,ADMIRALTY INDUSTRIAL PARK,21,WOODLANDS INDUSTRIAL PARK E1,ADMIRALTY INDUSTRIAL PARK,21 WOODLANDS INDUSTRIAL PARK E1 ADMIRALTY INDUSTRIAL PARK SINGAPORE 757720,757720,23879.3503896538,48428.3658141699,1.45424310330805,103.79629030903,103.79629030903,Admiralty Park
8,ADMIRALTY INDUSTRIAL PARK,23,WOODLANDS INDUSTRIAL PARK E1,ADMIRALTY INDUSTRIAL PARK,23 WOODLANDS INDUSTRIAL PARK E1 ADMIRALTY INDUSTRIAL PARK SINGAPORE 757741,757741,23950.5990742976,48466.3829768095,1.45458692710995,103.796930546048,103.796930546048,Admiralty Park
9,ADMIRALTY INDUSTRIAL PARK,25,WOODLANDS INDUSTRIAL PARK E1,ADMIRALTY INDUSTRIAL PARK,25 WOODLANDS INDUSTRIAL PARK E1 ADMIRALTY INDUSTRIAL PARK SINGAPORE 757743,757743,23989.3193924678,48489.5791185442,1.45479671015688,103.797278484555,103.797278484555,Admiralty Park
10,ANG MO KIO TOWN GARDEN EAST,,NIL,ANG MO KIO TOWN GARDEN EAST,ANG MO KIO TOWN GARDEN EAST,NIL,29909.5281282132,39189.7002596296,1.37069218596975,103.850477038504,103.850477038504,Ang Mo Kio Town Garden East
11,ANG MO KIO TOWN GARDEN WEST,,NIL,ANG MO KIO TOWN GARDEN WEST,ANG MO KIO TOWN GARDEN WEST,NIL,29071.7194798496,39573.9878475331,1.37416758787361,103.842948749695,103.842948749695,Ang Mo Kio Town Garden West
12,BEDOK TOWN PARK,,NIL,BEDOK TOWN PARK,BEDOK TOWN PARK,NIL,37908.1250441866,35176.7942847386,1.33439933330273,103.922348727352,103.922348727352,Bedok Town Park
13,BISHAN - ANG MO KIO PARK (POND GARDENS),,NIL,BISHAN - ANG MO KIO PARK (POND GARDENS),BISHAN - ANG MO KIO PARK (POND GARDENS),NIL,28331.5993566066,38579.1553769931,1.36517069591469,103.83629822663,103.83629822663,Bishan-Ang Mo Kio Park
14,BISHAN - ANG MO KIO PARK (RIVER PLAINS),,NIL,BISHAN - ANG MO KIO PARK (RIVER PLAINS),BISHAN - ANG MO KIO PARK (RIVER PLAINS),NIL,29601.0924101854,38130.6701825932,1.36111471450206,103.847705468769,103.847705468769,Bishan-Ang Mo Kio Park
15,SHELL BUKIT BATOK NATURE PARK,28,BUKIT BATOK EAST AVENUE 6,SHELL BUKIT BATOK NATURE PARK,28 BUKIT BATOK EAST AVENUE 6 SHELL BUKIT BATOK NATURE PARK SINGAPORE 659760,659760,20384.4935475662,36639.3392928522,1.34762672421062,103.764888536147,103.764888536147,Bukit Batok Nature Park
16,BUKIT BATOK NATURE PARK,,NIL,BUKIT BATOK NATURE PARK,BUKIT BATOK NATURE PARK,NIL,20307.5543609113,36917.2587388922,1.35014010737608,103.764197119297,103.764197119297,Bukit Batok Nature Park
17,BUKIT BATOK TOWN PARK,,NIL,BUKIT BATOK TOWN PARK,BUKIT BATOK TOWN PARK,NIL,19364.938369533,37739.7907423899,1.35757852997096,103.755726890477,103.755726890477,Bukit Batok Town Park
18,BUKIT TIMAH NATURE RESERVE,,NIL,BUKIT TIMAH NATURE RESERVE,BUKIT TIMAH NATURE RESERVE,NIL,21851.8463827493,37391.6343190614,1.35443054655389,103.778073451976,103.778073451976,Bukit Timah Nature Reserve
19,CENTRAL CATCHMENT NATURE RESERVE,,NIL,CENTRAL CATCHMENT NATURE RESERVE,CENTRAL CATCHMENT NATURE RESERVE,NIL,24481.8368453775,40555.0545904189,1.38303981189267,103.801705234973,103.801705234973,Central Catchment Nature Reserve
20,CHANGI BEACH PARK,,NIL,CHANGI BEACH PARK,CHANGI BEACH PARK,NIL,46770.0926169362,40521.3374488857,1.38272907017716,104.001981729276,104.001981729276,Changi Beach Park
21,PULAU UBIN AND CHEK JAWA,,NIL,PULAU UBIN AND CHEK JAWA,PULAU UBIN AND CHEK JAWA,NIL,43869.3005273184,43814.0729286,1.41250901343404,103.97591782415,103.97591782415,Chek Jawa
22,CHEK JAWA (EASTERN TIP),,PULAU UBIN,CHEK JAWA (EASTERN TIP),PULAU UBIN CHEK JAWA (EASTERN TIP),NIL,45646.7644134285,43347.417560894,1.4082877253455,103.99188953363,103.99188953363,Chek Jawa
23,CHEK JAWA WETLAND,,NIL,CHEK JAWA WETLAND,CHEK JAWA WETLAND,NIL,45605.3952229312,43356.8863547761,1.40837338279458,103.991517803538,103.991517803538,Chek Jawa
24,TANJONG CHEK JAWA,,NIL,TANJONG CHEK JAWA,TANJONG CHEK JAWA,NIL,45741.1781848548,43292.9239002448,1.40779484799291,103.99273788475,103.99273788475,Chek Jawa
25,UOB CHINESE GARDEN MRT STATION,151,BOON LAY WAY,UOB CHINESE GARDEN MRT STATION,151 BOON LAY WAY UOB CHINESE GARDEN MRT STATION SINGAPORE 609959,609959,16809.6501079546,36044.3730992917,1.34224494823931,103.732766601621,103.732766601621,Chinese Garden
26,CHINESE GARDEN MRT STATION (EW25),151,BOON LAY WAY,CHINESE GARDEN MRT STATION (EW25),151 BOON LAY WAY CHINESE GARDEN MRT STATION (EW25) SINGAPORE 609959,609959,16790.7466322081,36056.3018932827,1.34235282081401,103.732596738363,103.732596738363,Chinese Garden
27,DBS CHINESE GARDEN MRT STATION,151,BOON LAY WAY,DBS CHINESE GARDEN MRT STATION,151 BOON LAY WAY DBS CHINESE GARDEN MRT STATION SINGAPORE 609959,609959,16809.6501079546,36044.3730992917,1.34224494823931,103.732766601621,103.732766601621,Chinese Garden
28,OCBC CHINESE GARDEN MRT STATION,151,BOON LAY WAY,OCBC CHINESE GARDEN MRT STATION,151 BOON LAY WAY OCBC CHINESE GARDEN MRT STATION SINGAPORE 609959,609959,16809.6501079546,36044.3730992917,1.34224494823931,103.732766601621,103.732766601621,Chinese Garden
29,CHINESE GARDEN MRT STATION EXIT A,,NIL,CHINESE GARDEN MRT STATION EXIT A,CHINESE GARDEN MRT STATION EXIT A,NIL,16749.3360653771,36066.0366216693,1.34244084264959,103.732224636444,103.732224636444,Chinese Garden
30,CHINESE GARDEN MRT STATION EXIT B,,NIL,CHINESE GARDEN MRT STATION EXIT B,CHINESE GARDEN MRT STATION EXIT B,NIL,16770.4981380692,36043.1947364174,1.34223427697715,103.732414798591,103.732414798591,Chinese Garden
31,GARDENS BY THE BAY (CHINESE GARDEN),,NIL,GARDENS BY THE BAY (CHINESE GARDEN),GARDENS BY THE BAY (CHINESE GARDEN),NIL,31361.2234564917,29501.2383924369,1.28307304852982,103.863520483863,103.863520483863,Chinese Garden
32,CHINESE GARDEN MRT STATION EXIT C,,NIL,CHINESE GARDEN MRT STATION EXIT C,CHINESE GARDEN MRT STATION EXIT C,NIL,16798.7646513628,36028.5093766134,1.34210147853728,103.73266879526,103.73266879526,Chinese Garden
33,JLG: CHINESE & JAPANESE GARDEN,,NIL,JLG: CHINESE & JAPANESE GARDEN,JLG: CHINESE & JAPANESE GARDEN,NIL,16397.156330849,35675.032749787,1.33890461457493,103.729060244019,103.729060244019,Chinese Garden
