,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
0,DBS DHOBY GHAUT MRT STATION,11,ORCHARD ROAD,DBS DHOBY GHAUT MRT STATION,11 ORCHARD ROAD DBS DHOBY GHAUT MRT STATION SINGAPORE 238826,238826,29431.3500115182,31227.922892984,1.29868872290409,103.846179896647,103.846179896647,Dhoby Ghaut
1,DHOBY GHAUT MRT STATION (NS24),11,ORCHARD ROAD,DHOBY GHAUT MRT STATION (NS24),11 ORCHARD ROAD DHOBY GHAUT MRT STATION (NS24) SINGAPORE 238826,238826,29423.9804536467,31229.3163704202,1.29870132536119,103.846113677951,103.846113677951,Dhoby Ghaut
2,UOB DHOBY GHAUT MRT STATION,11,ORCHARD ROAD,UOB DHOBY GHAUT MRT STATION,11 ORCHARD ROAD UOB DHOBY GHAUT MRT STATION SINGAPORE 238826,238826,29428.7041659895,31223.6895522457,1.29865043818251,103.846156122354,103.846156122354,Dhoby Ghaut
3,OCBC DHOBY GHAUT MRT STATION,11,ORCHARD ROAD,OCBC DHOBY GHAUT MRT STATION,11 ORCHARD ROAD OCBC DHOBY GHAUT MRT STATION SINGAPORE 238826,238826,29432.9375067279,31224.2187274061,1.29865522366188,103.846194160829,103.846194160829,Dhoby Ghaut
4,DHOBY GHAUT MRT STATION (CC1),13,ORCHARD ROAD,DHOBY GHAUT MRT STATION (CC1),13 ORCHARD ROAD DHOBY GHAUT MRT STATION (CC1) SINGAPORE 238893,238893,29443.8824096406,31252.5723822247,1.29891164362677,103.84629250696,103.84629250696,Dhoby Ghaut
5,KLCII DHOBY GHAUT CAMPUS,36,PRINSEP STREET,KLCII DHOBY GHAUT CAMPUS,36 PRINSEP STREET KLCII DHOBY GHAUT CAMPUS SINGAPORE 188648,188648,29820.8925754149,31281.4514287058,1.29917279578375,103.849680113122,103.849680113122,Dhoby Ghaut
6,MDIS DHOBY GHAUT,20,ORCHARD ROAD,MDIS DHOBY GHAUT,20 ORCHARD ROAD MDIS DHOBY GHAUT SINGAPORE 238830,238830,29496.0425298167,31264.8113322444,1.29902232591852,103.84676118949,103.84676118949,Dhoby Ghaut
7,UOB DHOBY GHAUT NEL MRT STATION,60,ORCHARD ROAD,UOB DHOBY GHAUT NEL MRT STATION,60 ORCHARD ROAD UOB DHOBY GHAUT NEL MRT STATION SINGAPORE 238889,238889,29360.0988146318,31313.6808988396,1.29946429130549,103.845539676638,103.845539676638,Dhoby Ghaut
8,DHOBY GHAUT CARPARK,60,ORCHARD ROAD,DHOBY GHAUT CARPARK,60 ORCHARD ROAD DHOBY GHAUT CARPARK SINGAPORE 238889,238889,29357.4663172839,31306.8366115578,1.29940239409636,103.845516022173,103.845516022173,Dhoby Ghaut
9,DHOBY GHAUT MRT STATION (NE6),60,ORCHARD ROAD,DHOBY GHAUT MRT STATION (NE6),60 ORCHARD ROAD DHOBY GHAUT MRT STATION (NE6) SINGAPORE 238889,238889,29354.4079191377,31340.2508916464,1.29970458121203,103.845488542541,103.845488542541,Dhoby Ghaut
