flat,station_name,station_dist,num_station_2km,station_name_2027_onwards,station_dist_2027_onwards,num_station_2km_2027_onwards,num_of_new_stations_added_here
172 ANG MO KIO AVE 4,Mayflower,0.4063701085374889,6,Mayflower,0.4063701085374889,7,1
510 ANG MO KIO AVE 8,Ang Mo Kio,0.4710313405440957,3,Ang Mo Kio,0.4710313405440957,6,3
610 ANG MO KIO AVE 4,Mayflower,0.7388728986541273,6,Mayflower,0.7388728986541273,7,1
474 ANG MO KIO AVE 10,Lorong Chuan,1.3546802039346864,2,Teck Ghee,0.8455304630284306,5,3
604 ANG MO KIO AVE 5,Yio Chu Kang,0.4205127803569338,6,Yio Chu Kang,0.4205127803569338,7,1
154 ANG MO KIO AVE 5,Mayflower,0.4337301244756283,5,Mayflower,0.4337301244756283,7,2
110 ANG MO KIO AVE 4,Mayflower,0.3445124910729477,6,Mayflower,0.3445124910729477,7,1
445 ANG MO KIO AVE 10,Ang Mo Kio,0.9900899018448358,3,Teck Ghee,0.5412446247417494,6,3
476 ANG MO KIO AVE 10,Lorong Chuan,1.3218101887518172,2,Teck Ghee,0.847838869134401,5,3
631 ANG MO KIO AVE 4,Mayflower,0.7671110667826038,6,Mayflower,0.7671110667826038,7,1
155 ANG MO KIO AVE 4,Mayflower,0.3534755185111797,5,Mayflower,0.3534755185111797,7,2
560 ANG MO KIO AVE 10,Ang Mo Kio,1.3538496880125768,1,Tavistock,0.7033252655943818,4,3
561 ANG MO KIO AVE 10,Ang Mo Kio,1.203188504164158,1,Tavistock,0.8499112830709035,4,3
405 ANG MO KIO AVE 10,Ang Mo Kio,1.163780236181077,3,Teck Ghee,0.5449358439153075,5,2
548 ANG MO KIO AVE 10,Ang Mo Kio,1.1663037824608775,2,Tavistock,0.9856872837259189,5,3
126 ANG MO KIO AVE 3,Ang Mo Kio,0.4424956472310003,6,Ang Mo Kio,0.4424956472310003,7,1
558 ANG MO KIO AVE 10,Ang Mo Kio,1.3590556142601884,1,Tavistock,0.7093753039974853,4,3
212 ANG MO KIO AVE 3,Mayflower,0.4910531577672876,6,Mayflower,0.4910531577672876,7,1
333 ANG MO KIO AVE 1,Ang Mo Kio,1.0516095911528958,4,Teck Ghee,0.4766175983111841,7,3
114 ANG MO KIO AVE 4,Mayflower,0.3703210915848108,6,Mayflower,0.3703210915848108,7,1
151 ANG MO KIO AVE 5,Mayflower,0.4764247011733862,5,Mayflower,0.4764247011733862,7,2
503 ANG MO KIO AVE 5,Ang Mo Kio,0.6760109291432078,4,Ang Mo Kio,0.6760109291432078,6,2
230 ANG MO KIO AVE 3,Bishan,0.4384828602036043,6,Bishan,0.4384828602036043,7,1
157 ANG MO KIO AVE 4,Mayflower,0.2859489436120353,5,Mayflower,0.2859489436120353,7,2
213 ANG MO KIO AVE 3,Mayflower,0.5799643879878306,6,Mayflower,0.5799643879878306,7,1
419 ANG MO KIO AVE 10,Ang Mo Kio,0.9188766847600992,4,Teck Ghee,0.3565302836285534,6,2
549 ANG MO KIO AVE 10,Ang Mo Kio,1.2136864540437242,2,Tavistock,0.9561631835304368,5,3
201 ANG MO KIO AVE 3,Ang Mo Kio,0.2936156723840839,6,Ang Mo Kio,0.2936156723840839,7,1
533 ANG MO KIO AVE 5,Ang Mo Kio,0.8273681853458483,2,Ang Mo Kio,0.8273681853458483,4,2
571 ANG MO KIO AVE 3,Ang Mo Kio,0.868958191721091,2,Teck Ghee,0.6592740866532436,4,2
623 ANG MO KIO AVE 9,Yio Chu Kang,0.9613006196479948,5,Yio Chu Kang,0.9613006196479948,5,0
465 ANG MO KIO AVE 10,Ang Mo Kio,1.1885110143972455,2,Teck Ghee,0.6981654838332721,5,3
119 ANG MO KIO AVE 3,Ang Mo Kio,0.2654805231021525,6,Ang Mo Kio,0.2654805231021525,7,1
121 ANG MO KIO AVE 3,Ang Mo Kio,0.3970502657595611,6,Ang Mo Kio,0.3970502657595611,7,1
418 ANG MO KIO AVE 10,Ang Mo Kio,0.9324883768670468,4,Teck Ghee,0.3507184033934072,6,2
607 ANG MO KIO AVE 4,Yio Chu Kang,0.7194885433967393,6,Yio Chu Kang,0.7194885433967393,6,0
216 ANG MO KIO AVE 1,Bishan,0.5904567154424634,6,Bishan,0.5904567154424634,7,1
103 ANG MO KIO AVE 3,Mayflower,0.1906882371619746,6,Mayflower,0.1906882371619746,7,1
570 ANG MO KIO AVE 3,Ang Mo Kio,0.9949728928579284,2,Teck Ghee,0.7273352529804502,5,3
127 ANG MO KIO AVE 3,Ang Mo Kio,0.4259521163216149,6,Ang Mo Kio,0.4259521163216149,7,1
159 ANG MO KIO AVE 4,Mayflower,0.2320585672714062,5,Mayflower,0.2320585672714062,7,2
173 ANG MO KIO AVE 4,Mayflower,0.4656510260404736,6,Mayflower,0.4656510260404736,7,1
585 ANG MO KIO AVE 3,Ang Mo Kio,0.5974600202452728,3,Teck Ghee,0.5757446643403806,5,2
120 ANG MO KIO AVE 3,Ang Mo Kio,0.2805487475493637,6,Ang Mo Kio,0.2805487475493637,7,1
421 ANG MO KIO AVE 10,Ang Mo Kio,0.8064360817176138,4,Teck Ghee,0.224800730317175,7,3
178 ANG MO KIO AVE 4,Mayflower,0.4743412137931702,6,Mayflower,0.4743412137931702,8,2
417 ANG MO KIO AVE 10,Ang Mo Kio,1.0408534089024637,3,Teck Ghee,0.4769452038023178,5,2
509 ANG MO KIO AVE 8,Ang Mo Kio,0.5899920288953697,3,Ang Mo Kio,0.5899920288953697,5,2
128 ANG MO KIO AVE 3,Ang Mo Kio,0.4149762356821515,6,Ang Mo Kio,0.4149762356821515,7,1
328 ANG MO KIO AVE 3,Ang Mo Kio,0.3454994585579309,4,Ang Mo Kio,0.3454994585579309,6,2
463 ANG MO KIO AVE 10,Ang Mo Kio,1.1955793377840505,2,Teck Ghee,0.7421669431963469,5,3
575 ANG MO KIO AVE 10,Ang Mo Kio,1.005869937852978,2,Teck Ghee,0.8488643255501885,4,2
587 ANG MO KIO AVE 3,Ang Mo Kio,0.5980506975600806,3,Teck Ghee,0.5344892372441261,5,2
218 ANG MO KIO AVE 1,Bishan,0.6059079097363482,5,Bishan,0.6059079097363482,6,1
320 ANG MO KIO AVE 1,Ang Mo Kio,0.4706207965108853,4,Teck Ghee,0.2860534400690808,6,2
348 ANG MO KIO AVE 3,Ang Mo Kio,0.3914894542359377,4,Teck Ghee,0.34684748856177,5,1
601 ANG MO KIO AVE 5,Yio Chu Kang,0.3068573546317055,6,Yio Chu Kang,0.3068573546317055,6,0
313 ANG MO KIO AVE 3,Ang Mo Kio,0.4739969964229165,3,Teck Ghee,0.1489484385486695,6,3
523 ANG MO KIO AVE 5,Ang Mo Kio,0.7398803987656205,2,Ang Mo Kio,0.7398803987656205,4,2
108 ANG MO KIO AVE 4,Mayflower,0.2452028377566864,6,Mayflower,0.2452028377566864,7,1
466 ANG MO KIO AVE 10,Ang Mo Kio,1.1881660407486063,2,Teck Ghee,0.6798380652667356,5,3
105 ANG MO KIO AVE 4,Mayflower,0.2210817640518376,6,Mayflower,0.2210817640518376,7,1
438 ANG MO KIO AVE 10,Ang Mo Kio,0.8147567933173815,4,Teck Ghee,0.3621154284550826,6,2
543 ANG MO KIO AVE 10,Ang Mo Kio,1.1414626734024975,2,Tavistock,1.1246048824984656,4,2
416 ANG MO KIO AVE 10,Ang Mo Kio,1.0557843512177378,3,Teck Ghee,0.4757401753083761,5,2
442 ANG MO KIO AVE 10,Ang Mo Kio,1.0084174350350863,3,Teck Ghee,0.4758192237533257,5,2
573 ANG MO KIO AVE 3,Ang Mo Kio,0.8673470805932658,2,Teck Ghee,0.6982526614310401,4,2
542 ANG MO KIO AVE 10,Ang Mo Kio,1.1293145262842712,2,Ang Mo Kio,1.1293145262842712,4,2
544 ANG MO KIO AVE 10,Ang Mo Kio,1.1487337016684176,2,Tavistock,1.0856257692216449,4,2
335 ANG MO KIO AVE 1,Ang Mo Kio,0.8166395036889207,4,Teck Ghee,0.2645986392890927,7,3
475 ANG MO KIO AVE 10,Ang Mo Kio,1.3028388648567495,2,Teck Ghee,0.6980669995113361,5,3
572 ANG MO KIO AVE 3,Ang Mo Kio,0.9912393586175792,2,Teck Ghee,0.7601433037165303,5,3
208 ANG MO KIO AVE 1,Ang Mo Kio,0.6720279942442433,5,Ang Mo Kio,0.6720279942442433,6,1
231 ANG MO KIO AVE 3,Bishan,0.3989813842055625,6,Bishan,0.3989813842055625,7,1
435 ANG MO KIO AVE 10,Ang Mo Kio,0.82202254764995,2,Teck Ghee,0.431432746459886,4,2
467 ANG MO KIO AVE 10,Ang Mo Kio,1.1794434380117365,2,Teck Ghee,0.6510051981777994,5,3
634 ANG MO KIO AVE 6,Mayflower,1.0637303185538205,5,Mayflower,1.0637303185538205,6,1
504 ANG MO KIO AVE 8,Ang Mo Kio,0.6099986957860899,4,Ang Mo Kio,0.6099986957860899,6,2
414 ANG MO KIO AVE 10,Ang Mo Kio,0.9900671711890568,4,Teck Ghee,0.378035269901138,6,2
434 ANG MO KIO AVE 10,Ang Mo Kio,0.7350321584908406,3,Teck Ghee,0.3770460339408503,5,2
346 ANG MO KIO AVE 3,Ang Mo Kio,0.4020006300397364,3,Teck Ghee,0.2203875721869067,6,3
638 ANG MO KIO AVE 6,Mayflower,0.9669847894311951,5,Mayflower,0.9669847894311951,6,1
