flat,station_name,station_dist,num_station_2km
172 ANG MO KIO AVE 4,Mayflower,0.40637010853748895,6
510 ANG MO KIO AVE 8,Ang Mo Kio,0.47103134054409573,3
610 ANG MO KIO AVE 4,Mayflower,0.7388728986541273,6
474 ANG MO KIO AVE 10,Lorong Chuan,1.3546802039346864,2
604 ANG MO KIO AVE 5,Yio Chu Kang,0.4205127803569338,6
154 ANG MO KIO AVE 5,Mayflower,0.4337301244756283,5
110 ANG MO KIO AVE 4,Mayflower,0.3445124910729477,6
445 ANG MO KIO AVE 10,Ang Mo Kio,0.9900899018448358,3
476 ANG MO KIO AVE 10,Lorong Chuan,1.3218101887518172,2
631 ANG MO KIO AVE 4,Mayflower,0.7671110667826038,6
155 ANG MO KIO AVE 4,Mayflower,0.3534755185111797,5
560 ANG MO KIO AVE 10,Ang Mo Kio,1.3538496880125768,1
561 ANG MO KIO AVE 10,Ang Mo Kio,1.2031885041641581,1
405 ANG MO KIO AVE 10,Ang Mo Kio,1.163780236181077,3
548 ANG MO KIO AVE 10,Ang Mo Kio,1.1663037824608777,2
126 ANG MO KIO AVE 3,Ang Mo Kio,0.4424956472310003,6
558 ANG MO KIO AVE 10,Ang Mo Kio,1.3590556142601884,1
212 ANG MO KIO AVE 3,Mayflower,0.4910531577672876,6
333 ANG MO KIO AVE 1,Ang Mo Kio,1.0516095911528958,4
114 ANG MO KIO AVE 4,Mayflower,0.37032109158481086,6
151 ANG MO KIO AVE 5,Mayflower,0.47642470117338626,5
503 ANG MO KIO AVE 5,Ang Mo Kio,0.6760109291432078,4
230 ANG MO KIO AVE 3,Bishan,0.43848286020360433,6
157 ANG MO KIO AVE 4,Mayflower,0.2859489436120353,5
213 ANG MO KIO AVE 3,Mayflower,0.5799643879878306,6
419 ANG MO KIO AVE 10,Ang Mo Kio,0.9188766847600993,4
549 ANG MO KIO AVE 10,Ang Mo Kio,1.2136864540437242,2
201 ANG MO KIO AVE 3,Ang Mo Kio,0.2936156723840839,6
533 ANG MO KIO AVE 5,Ang Mo Kio,0.8273681853458483,2
571 ANG MO KIO AVE 3,Ang Mo Kio,0.868958191721091,2
623 ANG MO KIO AVE 9,Yio Chu Kang,0.9613006196479947,5
465 ANG MO KIO AVE 10,Ang Mo Kio,1.1885110143972457,2
119 ANG MO KIO AVE 3,Ang Mo Kio,0.26548052310215253,6
121 ANG MO KIO AVE 3,Ang Mo Kio,0.39705026575956115,6
418 ANG MO KIO AVE 10,Ang Mo Kio,0.9324883768670469,4
607 ANG MO KIO AVE 4,Yio Chu Kang,0.7194885433967393,6
216 ANG MO KIO AVE 1,Bishan,0.5904567154424634,6
103 ANG MO KIO AVE 3,Mayflower,0.1906882371619746,6
570 ANG MO KIO AVE 3,Ang Mo Kio,0.9949728928579284,2
127 ANG MO KIO AVE 3,Ang Mo Kio,0.42595211632161495,6
159 ANG MO KIO AVE 4,Mayflower,0.2320585672714062,5
173 ANG MO KIO AVE 4,Mayflower,0.4656510260404736,6
585 ANG MO KIO AVE 3,Ang Mo Kio,0.5974600202452728,3
120 ANG MO KIO AVE 3,Ang Mo Kio,0.2805487475493637,6
421 ANG MO KIO AVE 10,Ang Mo Kio,0.8064360817176138,4
178 ANG MO KIO AVE 4,Mayflower,0.4743412137931702,6
417 ANG MO KIO AVE 10,Ang Mo Kio,1.0408534089024637,3
509 ANG MO KIO AVE 8,Ang Mo Kio,0.5899920288953697,3
128 ANG MO KIO AVE 3,Ang Mo Kio,0.4149762356821515,6
328 ANG MO KIO AVE 3,Ang Mo Kio,0.3454994585579309,4
463 ANG MO KIO AVE 10,Ang Mo Kio,1.1955793377840505,2
575 ANG MO KIO AVE 10,Ang Mo Kio,1.005869937852978,2
587 ANG MO KIO AVE 3,Ang Mo Kio,0.5980506975600806,3
218 ANG MO KIO AVE 1,Bishan,0.6059079097363482,5
320 ANG MO KIO AVE 1,Ang Mo Kio,0.47062079651088534,4
348 ANG MO KIO AVE 3,Ang Mo Kio,0.39148945423593773,4
601 ANG MO KIO AVE 5,Yio Chu Kang,0.30685735463170555,6
313 ANG MO KIO AVE 3,Ang Mo Kio,0.4739969964229165,3
523 ANG MO KIO AVE 5,Ang Mo Kio,0.7398803987656205,2
108 ANG MO KIO AVE 4,Mayflower,0.24520283775668644,6
466 ANG MO KIO AVE 10,Ang Mo Kio,1.1881660407486063,2
105 ANG MO KIO AVE 4,Mayflower,0.22108176405183766,6
438 ANG MO KIO AVE 10,Ang Mo Kio,0.8147567933173815,4
543 ANG MO KIO AVE 10,Ang Mo Kio,1.1414626734024975,2
416 ANG MO KIO AVE 10,Ang Mo Kio,1.0557843512177378,3
442 ANG MO KIO AVE 10,Ang Mo Kio,1.0084174350350865,3
573 ANG MO KIO AVE 3,Ang Mo Kio,0.8673470805932658,2
542 ANG MO KIO AVE 10,Ang Mo Kio,1.1293145262842712,2
544 ANG MO KIO AVE 10,Ang Mo Kio,1.1487337016684176,2
335 ANG MO KIO AVE 1,Ang Mo Kio,0.8166395036889207,4
475 ANG MO KIO AVE 10,Ang Mo Kio,1.3028388648567495,2
572 ANG MO KIO AVE 3,Ang Mo Kio,0.9912393586175792,2
208 ANG MO KIO AVE 1,Ang Mo Kio,0.6720279942442433,5
231 ANG MO KIO AVE 3,Bishan,0.39898138420556256,6
435 ANG MO KIO AVE 10,Ang Mo Kio,0.82202254764995,2
467 ANG MO KIO AVE 10,Ang Mo Kio,1.1794434380117365,2
634 ANG MO KIO AVE 6,Mayflower,1.0637303185538205,5
504 ANG MO KIO AVE 8,Ang Mo Kio,0.6099986957860899,4
414 ANG MO KIO AVE 10,Ang Mo Kio,0.9900671711890568,4
434 ANG MO KIO AVE 10,Ang Mo Kio,0.7350321584908406,3
346 ANG MO KIO AVE 3,Ang Mo Kio,0.40200063003973646,3
638 ANG MO KIO AVE 6,Mayflower,0.9669847894311951,5
101 ANG MO KIO AVE 3,Mayflower,0.2724205905037467,6
354 ANG MO KIO ST 32,Ang Mo Kio,0.842077499299837,4
648 ANG MO KIO AVE 5,Mayflower,0.7665762697764998,4
351 ANG MO KIO ST 32,Ang Mo Kio,0.6888471374670526,4
716 ANG MO KIO AVE 6,Ang Mo Kio,0.24393513159793698,4
700A ANG MO KIO AVE 6,Ang Mo Kio,0.11782493175710415,4
596D ANG MO KIO ST 52,Ang Mo Kio,0.5037571841204003,3
460 ANG MO KIO AVE 10,Ang Mo Kio,1.3886654909458036,2
700B ANG MO KIO AVE 6,Ang Mo Kio,0.1167127350736591,5
437 ANG MO KIO AVE 10,Ang Mo Kio,0.7371990247855901,3
253 ANG MO KIO ST 21,Bishan,0.5082175091622068,6
596C ANG MO KIO ST 52,Ang Mo Kio,0.42466351888600545,3
316A ANG MO KIO ST 31,Ang Mo Kio,0.5394421009876743,4
439 ANG MO KIO AVE 10,Ang Mo Kio,0.8040734060556125,4
350 ANG MO KIO ST 32,Ang Mo Kio,0.7336777027554716,4
353 ANG MO KIO ST 32,Ang Mo Kio,0.7961329442757196,4
700C ANG MO KIO AVE 6,Ang Mo Kio,0.06979626348148618,3
620 BEDOK RESERVOIR RD,Bedok Reservoir,0.3865327944524541,5
618 BEDOK RESERVOIR RD,Bedok Reservoir,0.537719609426107,5
504 BEDOK NTH ST 3,Bedok North,0.8509955302424989,5
503 BEDOK NTH ST 3,Bedok North,0.8274766469178677,5
525 BEDOK NTH ST 3,Bedok North,0.9370145580911051,5
709 BEDOK RESERVOIR RD,Bedok Reservoir,0.2301164475820649,3
74 BEDOK NTH RD,Tanah Merah,0.4896857289036109,4
20 CHAI CHEE RD,Bedok North,0.4474458919665738,4
528 BEDOK NTH ST 3,Bedok Reservoir,0.830597520080929,4
3 BEDOK STH AVE 1,Bedok,0.6530914351019094,3
109 BEDOK NTH RD,Bedok North,1.0834147665845963,6
632 BEDOK RESERVOIR RD,Bedok Reservoir,0.8566317034958839,6
21 CHAI CHEE RD,Bedok North,0.5046208630324966,4
