flat,station_name_2027_onwards,station_dist_2027_onwards,num_station_2km_2027_onwards
172 ANG MO KIO AVE 4,Mayflower,0.40637010853748895,7
510 ANG MO KIO AVE 8,Ang Mo Kio,0.47103134054409573,6
610 ANG MO KIO AVE 4,Mayflower,0.7388728986541273,7
474 ANG MO KIO AVE 10,Teck Ghee,0.8455304630284306,5
604 ANG MO KIO AVE 5,Yio Chu Kang,0.4205127803569338,7
154 ANG MO KIO AVE 5,Mayflower,0.4337301244756283,7
110 ANG MO KIO AVE 4,Mayflower,0.3445124910729477,7
445 ANG MO KIO AVE 10,Teck Ghee,0.5412446247417494,6
476 ANG MO KIO AVE 10,Teck Ghee,0.847838869134401,5
631 ANG MO KIO AVE 4,Mayflower,0.7671110667826038,7
155 ANG MO KIO AVE 4,Mayflower,0.3534755185111797,7
560 ANG MO KIO AVE 10,Tavistock,0.7033252655943818,4
561 ANG MO KIO AVE 10,Tavistock,0.8499112830709035,4
405 ANG MO KIO AVE 10,Teck Ghee,0.5449358439153075,5
548 ANG MO KIO AVE 10,Tavistock,0.9856872837259187,5
126 ANG MO KIO AVE 3,Ang Mo Kio,0.4424956472310003,7
558 ANG MO KIO AVE 10,Tavistock,0.7093753039974853,4
212 ANG MO KIO AVE 3,Mayflower,0.4910531577672876,7
333 ANG MO KIO AVE 1,Teck Ghee,0.47661759831118417,7
114 ANG MO KIO AVE 4,Mayflower,0.37032109158481086,7
151 ANG MO KIO AVE 5,Mayflower,0.47642470117338626,7
503 ANG MO KIO AVE 5,Ang Mo Kio,0.6760109291432078,6
230 ANG MO KIO AVE 3,Bishan,0.43848286020360433,7
157 ANG MO KIO AVE 4,Mayflower,0.2859489436120353,7
213 ANG MO KIO AVE 3,Mayflower,0.5799643879878306,7
419 ANG MO KIO AVE 10,Teck Ghee,0.3565302836285534,6
549 ANG MO KIO AVE 10,Tavistock,0.9561631835304368,5
201 ANG MO KIO AVE 3,Ang Mo Kio,0.2936156723840839,7
533 ANG MO KIO AVE 5,Ang Mo Kio,0.8273681853458483,4
571 ANG MO KIO AVE 3,Teck Ghee,0.6592740866532436,4
623 ANG MO KIO AVE 9,Yio Chu Kang,0.9613006196479947,5
465 ANG MO KIO AVE 10,Teck Ghee,0.6981654838332721,5
119 ANG MO KIO AVE 3,Ang Mo Kio,0.26548052310215253,7
121 ANG MO KIO AVE 3,Ang Mo Kio,0.39705026575956115,7
418 ANG MO KIO AVE 10,Teck Ghee,0.3507184033934072,6
607 ANG MO KIO AVE 4,Yio Chu Kang,0.7194885433967393,6
216 ANG MO KIO AVE 1,Bishan,0.5904567154424634,7
103 ANG MO KIO AVE 3,Mayflower,0.1906882371619746,7
570 ANG MO KIO AVE 3,Teck Ghee,0.7273352529804502,5
127 ANG MO KIO AVE 3,Ang Mo Kio,0.42595211632161495,7
159 ANG MO KIO AVE 4,Mayflower,0.2320585672714062,7
173 ANG MO KIO AVE 4,Mayflower,0.4656510260404736,7
585 ANG MO KIO AVE 3,Teck Ghee,0.5757446643403806,5
120 ANG MO KIO AVE 3,Ang Mo Kio,0.2805487475493637,7
421 ANG MO KIO AVE 10,Teck Ghee,0.22480073031717504,7
178 ANG MO KIO AVE 4,Mayflower,0.4743412137931702,8
417 ANG MO KIO AVE 10,Teck Ghee,0.4769452038023178,5
509 ANG MO KIO AVE 8,Ang Mo Kio,0.5899920288953697,5
128 ANG MO KIO AVE 3,Ang Mo Kio,0.4149762356821515,7
328 ANG MO KIO AVE 3,Ang Mo Kio,0.3454994585579309,6
463 ANG MO KIO AVE 10,Teck Ghee,0.7421669431963469,5
575 ANG MO KIO AVE 10,Teck Ghee,0.8488643255501885,4
587 ANG MO KIO AVE 3,Teck Ghee,0.5344892372441261,5
218 ANG MO KIO AVE 1,Bishan,0.6059079097363482,6
320 ANG MO KIO AVE 1,Teck Ghee,0.2860534400690808,6
348 ANG MO KIO AVE 3,Teck Ghee,0.34684748856177006,5
601 ANG MO KIO AVE 5,Yio Chu Kang,0.30685735463170555,6
313 ANG MO KIO AVE 3,Teck Ghee,0.14894843854866957,6
523 ANG MO KIO AVE 5,Ang Mo Kio,0.7398803987656205,4
108 ANG MO KIO AVE 4,Mayflower,0.24520283775668644,7
466 ANG MO KIO AVE 10,Teck Ghee,0.6798380652667356,5
105 ANG MO KIO AVE 4,Mayflower,0.22108176405183766,7
438 ANG MO KIO AVE 10,Teck Ghee,0.3621154284550826,6
543 ANG MO KIO AVE 10,Tavistock,1.1246048824984656,4
416 ANG MO KIO AVE 10,Teck Ghee,0.4757401753083761,5
442 ANG MO KIO AVE 10,Teck Ghee,0.47581922375332575,5
573 ANG MO KIO AVE 3,Teck Ghee,0.6982526614310401,4
542 ANG MO KIO AVE 10,Ang Mo Kio,1.1293145262842712,4
544 ANG MO KIO AVE 10,Tavistock,1.0856257692216447,4
335 ANG MO KIO AVE 1,Teck Ghee,0.2645986392890927,7
475 ANG MO KIO AVE 10,Teck Ghee,0.6980669995113361,5
572 ANG MO KIO AVE 3,Teck Ghee,0.7601433037165303,5
208 ANG MO KIO AVE 1,Ang Mo Kio,0.6720279942442433,6
231 ANG MO KIO AVE 3,Bishan,0.39898138420556256,7
435 ANG MO KIO AVE 10,Teck Ghee,0.43143274645988605,4
467 ANG MO KIO AVE 10,Teck Ghee,0.6510051981777994,5
634 ANG MO KIO AVE 6,Mayflower,1.0637303185538205,6
504 ANG MO KIO AVE 8,Ang Mo Kio,0.6099986957860899,6
414 ANG MO KIO AVE 10,Teck Ghee,0.378035269901138,6
434 ANG MO KIO AVE 10,Teck Ghee,0.3770460339408503,5
346 ANG MO KIO AVE 3,Teck Ghee,0.22038757218690674,6
638 ANG MO KIO AVE 6,Mayflower,0.9669847894311951,6
101 ANG MO KIO AVE 3,Mayflower,0.2724205905037467,7
354 ANG MO KIO ST 32,Teck Ghee,0.22357073279967954,7
648 ANG MO KIO AVE 5,Mayflower,0.7665762697764998,5
351 ANG MO KIO ST 32,Teck Ghee,0.1573659116586853,7
716 ANG MO KIO AVE 6,Ang Mo Kio,0.24393513159793698,6
700A ANG MO KIO AVE 6,Ang Mo Kio,0.11782493175710415,6
596D ANG MO KIO ST 52,Ang Mo Kio,0.5037571841204003,5
460 ANG MO KIO AVE 10,Tavistock,0.8264749665479284,5
700B ANG MO KIO AVE 6,Ang Mo Kio,0.1167127350736591,6
437 ANG MO KIO AVE 10,Teck Ghee,0.3110564917071723,5
253 ANG MO KIO ST 21,Bishan,0.5082175091622068,7
596C ANG MO KIO ST 52,Ang Mo Kio,0.42466351888600545,6
316A ANG MO KIO ST 31,Teck Ghee,0.4597023790284642,5
439 ANG MO KIO AVE 10,Teck Ghee,0.2931114850971985,6
350 ANG MO KIO ST 32,Teck Ghee,0.23085208919108996,7
353 ANG MO KIO ST 32,Teck Ghee,0.18318101044645033,7
700C ANG MO KIO AVE 6,Ang Mo Kio,0.06979626348148618,5
620 BEDOK RESERVOIR RD,Bedok Reservoir,0.3865327944524541,5
618 BEDOK RESERVOIR RD,Bedok Reservoir,0.537719609426107,5
504 BEDOK NTH ST 3,Bedok North,0.5377071611988486,6
503 BEDOK NTH ST 3,Bedok North,0.49913475253431266,6
525 BEDOK NTH ST 3,Bedok North,0.828360246387455,5
709 BEDOK RESERVOIR RD,Bedok Reservoir,0.2301164475820649,3
74 BEDOK NTH RD,Tanah Merah,0.4896857289036109,7
20 CHAI CHEE RD,Bedok,0.5918410481408107,5
528 BEDOK NTH ST 3,Bedok Reservoir,0.830597520080929,4
3 BEDOK STH AVE 1,Bedok South,0.6036498649302027,5
109 BEDOK NTH RD,Bedok North,0.6951968028084548,7
632 BEDOK RESERVOIR RD,Bedok Reservoir,0.8566317034958839,6
21 CHAI CHEE RD,Bedok,0.625767855698209,5
89 BEDOK NTH ST 4,Tanah Merah,0.9564218989733856,6
534 BEDOK NTH ST 3,Bedok Reservoir,0.6044244247125847,3
614 BEDOK RESERVOIR RD,Bedok Reservoir,0.6052477003878145,5
609 BEDOK RESERVOIR RD,Bedok Reservoir,1.0379302588488941,5
136 BEDOK RESERVOIR RD,Bedok Reservoir,0.8388932621065868,4
76 BEDOK NTH RD,Tanah Merah,0.47224811670091543,8
529 BEDOK NTH ST 3,Bedok Reservoir,0.7097754036759034,4
126 BEDOK NTH ST 2,Tanah Merah,0.8164389553289366,7
18 BEDOK STH RD,Bedok South,0.4824112841191435,5
57 CHAI CHEE DR,Bedok,0.8592134718167119,5
37 CHAI CHEE AVE,Bedok,0.21569226666053842,5
110 BEDOK NTH RD,Bedok North,0.7260943522490731,7
4 BEDOK STH AVE 1,Bedok North,0.596086188580539,5
