flat,top_school,top_school_dist,num_top_school_2km
172 ANG MO KIO AVE 4,Ai Tong School,1.6066462536460195,1
510 ANG MO KIO AVE 8,Ai Tong School,2.2804144013505514,0
610 ANG MO KIO AVE 4,Ai Tong School,2.1893067454850366,0
474 ANG MO KIO AVE 10,Yangzheng Primary School,1.9548357288166858,1
604 ANG MO KIO AVE 5,Ai Tong School,2.1574653364728813,0
154 ANG MO KIO AVE 5,Ai Tong School,1.9595871961003595,1
110 ANG MO KIO AVE 4,Ai Tong School,1.196740738669957,1
445 ANG MO KIO AVE 10,Yangzheng Primary School,2.4965970533786193,0
476 ANG MO KIO AVE 10,Yangzheng Primary School,1.9315962781756697,1
631 ANG MO KIO AVE 4,Ai Tong School,2.266928949960888,0
155 ANG MO KIO AVE 4,Ai Tong School,1.86411500033788,1
560 ANG MO KIO AVE 10,Xinmin Primary School,2.6592633231290397,0
561 ANG MO KIO AVE 10,Yangzheng Primary School,2.703708420112444,0
405 ANG MO KIO AVE 10,Yangzheng Primary School,2.1804659153098966,0
548 ANG MO KIO AVE 10,Xinmin Primary School,2.9022003933861567,0
126 ANG MO KIO AVE 3,Ai Tong School,1.7015364284131036,1
558 ANG MO KIO AVE 10,Xinmin Primary School,2.6585854925671444,0
212 ANG MO KIO AVE 3,Ai Tong School,1.3197327831336094,1
333 ANG MO KIO AVE 1,Ai Tong School,2.0803689414367805,0
114 ANG MO KIO AVE 4,Ai Tong School,1.3734641169984583,1
151 ANG MO KIO AVE 5,Ai Tong School,2.0006011564714257,0
503 ANG MO KIO AVE 5,Ai Tong School,2.4178810396232913,0
230 ANG MO KIO AVE 3,Ai Tong School,1.0591589320549912,1
157 ANG MO KIO AVE 4,Ai Tong School,1.7757720504111016,1
213 ANG MO KIO AVE 3,Ai Tong School,1.2129704165393642,1
419 ANG MO KIO AVE 10,Ai Tong School,2.4099453143411744,0
549 ANG MO KIO AVE 10,Xinmin Primary School,2.863330361356855,0
201 ANG MO KIO AVE 3,Ai Tong School,1.5767310120091227,1
533 ANG MO KIO AVE 5,Ai Tong School,2.683587477907399,0
571 ANG MO KIO AVE 3,Ai Tong School,2.648642926659576,0
